sent_id,premise,hypothesis
20274n,"In the summer, the Sultan's Pool, a vast outdoor amphitheatre, stages rock concerts or other big-name events.",Most rock concerts take place in the Sultan's Pool amphitheatre.
115173n,Practice 16: Be Alert to New Monitoring Tools and Techniques,Practice 17 is to check for intrusions.
131206n,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,Research suggests the FDA's opinion is wrong.
76016c,"Divers can explore the deeps but you can also snorkel here, or take a glass-bottom boat or submarine tour to get a glimpse of this watery world.",Divers do not like to explore the deeps here.
37131c,Saddam could emerge strengthened (and America tarnished) in the eyes of the Arab world.,Saddam could turn out weaker.
113193c,of course you could annex Cuba but they wouldn't like that a bit,Annexing Cuba is a great idea.
43365c,"Further, given the dynamic environment agencies face, employees need incentives, training, and support to help them continually learn and adapt.",Over time agencies faced rigid environments where nothing changed.
8545c,He hadn't seen even pictures of such things since the few silent movies run in some of the little art theaters.,He had recently seen pictures depicting those things.
2133n,"The tomb guardian will unlock the gate to the tunnel and give you a candle to explore the small circular catacomb, but for what little you can see, it is hardly worth the effort.",The tomb garden can give you a thorough tour of the catacombs.
77299n,"The inquiry expanded very quickly, however, from asking what technology failed to an examination of contextual influences, such as",They moved they inquiries over from technology failing because they thought it may be something else.
88050c,"If you have any questions about this report, please contact Henry R. Wray, Senior Associate General Counsel, at (202) 512-8581.",Henry R. Wray can be reached at (555) 512-8581.
140440e,"Table 2: Examples of BLM's, FHWA's, IRS's, and VBA's Customer Satisfaction Expectations for Senior Executive Performance",Senior Executive's have been studies on various aspects to reach the expectations.
6105n,"Asked about abortion the other day on CNN, Republican National Committee Chairman Jim Nicholson also invoked what is apparently the party-line  inclusive party.",The Republican politicians and spokespeople rely on the party-line when it comes to abortion because their constituents insist on it.
25437n,"Well, we will come in and interview the brave Dorcas."" Dorcas was standing in the boudoir, her hands folded in front of her, and her grey hair rose in stiff waves under her white cap.",Dorcas is well known for her bravery.
91993n,"Most of Slate will not be published next week, the third and last of our traditional summer weeks off.",Slate won't be published much this summer.
112688n,"(For more information on BLM's senior executive performance plans, see app.",BLM's performance plans are visible online.
44648e,which they probably Mexican people don't even know what a taco salad is but i think it's now it's moving up too because uh just a change you know just something different,"Taco salad isn't a traditional Mexican dish, but it's becoming one because of cultural movement."
113926e,Such experience better enables the CIOs to work with business managers to build a shared vision for meeting mission needs.,They are able to have the same vision because of their previous involvement.
36655n,"The regime's response of ferocious repression plus numerous other ineptitudes led to a third revolution in 1848, with the Bonapartists, led by Napoleon's nephew, emerging triumphant.",France was ruled by Napoleon's nephew after they won a revolution in 1848.
125391e,I thought working on Liddy's campaign would be better than working on Bob's.,I thought I would like working on Liddy's campaign the best.
119901e,"Most pundits side with bushy-headed George Stephanopoulos ( This Week ), arguing that only air strikes would be politically palatable.",Mr. Stephanopoulos has a very large pundit following due to his stance on air strikes only being politically palatable.
114458e,"Mortifyingly enough, it is all  the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole, the whatever do you want?",Many youth are lazy.
125600n,2) This particular instance of it stinks.,It is a terrible situation.
91541n,"Others love to see it in the middle of the heaviest monsoon, its marble translucent, its image blurred in the rain-stippled water channels of its gardens.",It is especially beautiful during the monsoon season.
28507n,"It is, as you see, highly magnified.",It is plain for you to see that it is amplified.
24755e,"To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.",The gate to the Hippodrome is an example of the architect's skill.
112621n,"Enter the realm of shopping malls, where everything you're looking for is available without moving your car.",Everything can be found inside a shopping mall.
26822n,"He leaned over Tommy, his face purple with excitement.","He hovered over Tommy, with a deep color in his face from the thrill."
137040e,We look forward to receiving comments from the readers of this paper.,Someone likes to get comments from readers of a paper.
61216c,"By seeding packs with a few high-value cards, the manufacturer is encouraging kids to buy Pokemon cards like lottery tickets.",Each Pokemon card pack is filled with every rare card a kid could want.
79141n,Isn't a woman's body her most personal property?,"Women's bodies belong to themselves, they should decide what to do with it."
4048n,Improved products and services   Initiate actions and manage risks to develop new products and services within or outside the organization.,Managed risks lead to new products
26460n,"While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive.",Democracies probably won't go to war unless someone attacks them on their soil
80517e,This doesn't look good.,This looks really bad.
43897e,2. Receiving Water Samples,The water samples should be received.
78105n,"Their supplies scarce, their harvest meager, and their spirit broken, they abandoned the fort in 1858.",They abandoned their fort after a zombie outbreak.
98721e,that's neat just supervised more or less than anything and security i guess for them,They just supervise people.
47756n,"She was quite young, not more than eighteen.",She looked older even though she was only barely eighteen.
34043c,The Gaiety Theatre in South King Street is worth visiting for its ornate d??cor.,The Trump Tower is a terrible place to visit for ornate decor.
61285n,"We were playing all sorts of sports, and you were not, so shut up and stop twitching,' the microbe's tone of voice changed, it was lower and more resounding.","We have played football, basketball, baseball and soccer and you haven't played anything so shut your mouth."
45749n,"Perhaps all we can say of great acting is that it involves assimilation rather than accumulation, that the performer isn't so much a surrogate as a vessel.",An actor is judged solely on quality of performance.
128360n,This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed and left with no money or a plane ticket but quickly solved the problem.
111167c,"Could you please speak to this issue, with regard to the social ramifications of gum chewing in public?","You don't have an opinion on gum chewing in public, I see."
14280n,"The author began with a set of hunches or hypotheses about what can go wrong in agency management, and what would be evidence supporting-or contradicting-these hypotheses.",The hunches provided by the author weren't realistic as it pertains to agency management.
138862c,"Also, other sorbent-based approaches in development may prove in time to be preferable to ACI, making the use of ACI only a conservative assumption.",Hydrogen-based approaches in development may be preferable to ACl.
49807n,"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",Lolani was built in only 1 year.
28456n,"A clean, wholesome-looking woman opened it.",The woman was trying to be desecrate.
55161n,"This testing of the marketplace may range from written or telephone contacts with knowledgeable federal and non-federal experts regarding similar or duplicate requirements and the results of any market test recently undertaken, to the more formal sources-sought announcements in pertinent publications (e.g.",Sources-sought announcements in pertinent publications are better for the marketplace testing.
118670c,The Kal whistled and Vrenna's eyes sparkled when she saw Jon swing it.,Kal is whistling into Vrenna's face.
83298n,"Anyway, she was found dead this morning.""",She died during the night but wasn't found until this morning.
